Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
9/4/2000,0.8978,6.65375,4.816,41.25,4.816
9/5/2000,0.8903,6.65313,4.824,40.6,4.824
9/6/2000,0.8702,6.65438,4.833,38.8,4.833
9/7/2000,0.8713,6.66,4.87,38.7,4.87
9/8/2000,0.8672,6.66,4.86,38.4,4.86
9/11/2000,0.8577,6.66,4.863,38.45,4.863
9/12/2000,0.864,6.66,4.861,38.75,4.861
9/13/2000,0.8594,6.66,4.846,38.95,4.846
9/14/2000,0.8644,6.66,4.831,39.35,4.831
9/15/2000,0.8543,6.66,4.809,39.55,4.809
9/18/2000,0.8537,6.66,4.816,38.75,4.816
9/19/2000,0.8509,6.65875,4.816,38.85,4.816
9/20/2000,0.8493,6.66,4.818,39.05,4.818
9/21/2000,0.8599,6.66,4.815,39.15,4.815
9/22/2000,0.8766,6.66,4.811,39.8,4.811
9/25/2000,0.8745,6.66,4.827,38.9,4.827
9/26/2000,0.8828,6.66,4.884,38.3,4.884
9/27/2000,0.8834,6.66,4.885,38.1,4.885
9/28/2000,0.8791,6.815,4.999,39.25,4.999
9/29/2000,0.8828,6.81125,4.996,39.5,4.996
10/2/2000,0.8773,6.80438,4.991,39.8,4.991
10/3/2000,0.8757,6.8025,4.985,39.95,4.985
10/4/2000,0.8746,6.8025,4.981,39.05,4.981
10/5/2000,0.8691,6.8025,4.981,37.75,4.981
10/6/2000,0.8684,6.8025,5.021,38,5.021
10/9/2000,0.8687,6.8,5.02,37.75,5.02
10/10/2000,0.8716,6.80188,5.016,38.45,5.016
10/11/2000,0.8683,6.79875,5.007,37.8,5.007
10/12/2000,0.863,6.79813,5.007,37.2,5.007
10/13/2000,0.856,6.77063,4.99,37.28,4.99
10/16/2000,0.8498,6.77375,5.009,36.3,5.009
10/17/2000,0.8543,6.77,5.018,37.05,5.018
10/18/2000,0.8389,6.76,5.016,35.3,5.016
10/19/2000,0.8436,6.76,5.025,35.05,5.025
10/20/2000,0.8421,6.76125,5.039,34.6,5.039
10/23/2000,0.8354,6.76,5.064,33.75,5.064
10/24/2000,0.8359,6.76,5.1,34.05,5.1
10/25/2000,0.8272,6.76,5.103,33.15,5.103
10/26/2000,0.8303,6.75875,5.125,33.25,5.125
10/27/2000,0.8393,6.7575,5.132,33.75,5.132
